office,authority,mcfd_reg,agency,sda_desc,lsa_desc,off_name,city,open_dt,close_dt,off_type,afterhrs,apt_num,addr1_txt,addr2_txt,post_cd,phone_num,community,lha,lha_name,lat,lng
AFB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Cranbrook Child & Family Services,Cranbrook,2000/04/01,2024/03/31,District,N,,201 - 1212 2nd Street North, ,V1C4T6, ,CRANBROOK,112,Cranbrook,49.5142494,-115.7635772
AFC,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Cranbrook - Family Serv (2),Cranbrook,2000/04/01,2024/03/31,District,N,,"Suite 100, 117 10th Avenue S", ,V1C2N1, ,CRANBROOK,112,Cranbrook,49.5093498,-115.7679904
AFD,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Invermere Child & Family Services,Invermere,2000/04/01,2024/03/31,District,N,,625 - 4th Street,Box 265,V0A1K0, ,INVERMERE,114,Windermere,50.5092293,-116.0289834
AFE,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Golden Child & Family Services,Golden,2000/04/01,2024/03/31,District,N,,Po Box 930,1104 9th Street,V0A1H0, ,GOLDEN,116,Golden,51.2961333,-116.9602352
AFG,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Creston/Cranbrook2 Child & Family Services,Creston,2000/04/01,2024/03/31,District,N,,Po Box 1180,224 10th Avenue N,V0B1G0, ,CRESTON,115,Creston,49.097285,-116.5132715
AFK,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Fernie Child & Family Services,Fernie,2000/04/01,2024/03/31,District,N,,Po Box 950 - Fernie,341 2nd Avenue,V0B1M0, ,FERNIE,111,Fernie,49.5020347,-115.0630567
AFP,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Cymh - Team Area 2 East,Creston,2000/04/01,2024/03/31, ,N,,224 10th Avenue North, ,V0B1G0, ,CRESTON,115,Creston,49.097285,-116.5132715
AFS,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,Cymh - Team Area 2 West,Trail,2000/04/01,2024/03/31,District,N,,#278 - 1051 Farwell Street, ,V1R4S9, ,TRAIL,125,Trail,49.0972041,-117.7083753
AGA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,Director Of Operations - West Kootenay Boundary,Nelson,2000/04/01,2024/03/31,District,N,,"Suite 308, 310 Ward Street", ,V1L5S4, ,NELSON,122,Nelson,49.4934222,-117.2959965
AGB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Early Years and CYSN - Okanagan and West Kootenay,Cysn W Kootenay,Castlegar,2008/04/01,2024/03/31,District,N,,620 - 17th Street, ,V1N4G7, ,CASTLEGAR,123,Castlegar,49.3010176,-117.6552217
AGJ,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - G.A.P.Y. Okanagan,Kootenay Youth Justice Services,Trail,2004/04/01,2024/03/31, ,N,,#278 - 1051 Farwell Street, ,V1R4S9, ,TRAIL,125,Trail,49.0972041,-117.7083753
AGK,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - East Kootenay,Cymh - East Kootenay,Cranbrook,2005/04/01,2024/03/31, ,N,,204 - 1212 2nd Street N, ,V1C4T6, ,CRANBROOK,112,Cranbrook,49.5142494,-115.7635772
AGL,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,Cymh - West Kootenay,Nelson,2005/04/01,2024/03/31, ,N,,"Suite 308, 310 Ward Street", ,V1L5S4, ,NELSON,122,Nelson,49.4934222,-117.2959965
AGU,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,Nelson Child & Family Services,Nelson,2000/04/01,2024/03/31,District,N,,566 Stanley Street, ,V1L1N2, ,NELSON,122,Nelson,49.4909262,-117.2949362
AGW,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,Castlegar Child & Family Services,Castlegar,2000/04/01,2024/03/31, ,N,,555 Columbia Ave., ,V1N1G8, ,CASTLEGAR,123,Castlegar,49.3230097,-117.6660192
AGX,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,Grand Forks Child & Family Services,Grand Forks,2000/04/01,2024/03/31,District,N,,Po Box 460,486b - 72nd Avenue,V0H1H0, ,GRAND FORKS,126,Grand Forks,49.0307771,-118.4398094
AGY,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,Nakusp Child & Family Services,Nakusp,2000/04/01,2024/03/31,District,N,,Po Box 298,204 6th Avenue Nw,V0G1R0, ,BURTON,124,Arrow Lakes,50.2414917,-117.8051452
AGZ,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - West Kootenay Boundary,Trail Child & Family Services,Trail,2000/04/01,2024/03/31,District,N,,#278 - 1051 Farwell Street, ,V1R4S9, ,TRAIL,125,Trail,49.0972041,-117.7083753
AHA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Child Prot/Aboriginal E. Kootenay,Cranbrook,2000/04/01,2024/03/31, ,N,,"Suite 100, 117 10th Avenue S", ,V1C2N1, ,CRANBROOK,112,Cranbrook,49.5093498,-115.7679904
DBA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,{Office not assigned to an LSA},Eds-Okanagan Serv Area,Kelowna,2000/04/01,2024/03/31,District,N,,2nd Floor-1726 Dolphin Avenue, ,V1Y9R9, ,KELOWNA,137,Central Okanagan,49.8792745,-119.4593551
DCA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Central OK Protection & Collaborative Planning,Director Of Operations - Central Ok Protection & Collaborative Planning,Kelowna,2000/04/01,2024/03/31,District,N,,"Suite 400, 1726 Dolphin Avenue", ,V1Y9R9, ,KELOWNA,137,Central Okanagan,49.8792745,-119.4593551
DCB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Central OK Protection & Collaborative Planning,Kelowna Intake 2,Kelowna,2000/04/01,2024/03/31,District,N,,304 - 260 Harvey Avenue, ,V1Y7S5, ,KELOWNA,137,Central Okanagan,49.8836824,-119.4980055
DCC,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Westside Integrated Services,Kelowna,2000/04/01,2024/03/31,District,N,,"Suite 100, 540 Groves Avenue", ,V1Y4Y7, ,KELOWNA,137,Central Okanagan,49.8635758,-119.4902532
DCD,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - G.A.P.Y. Okanagan,Youth Services & Collaborative Planning,Kelowna,2000/04/01,2024/03/31,District,N,,301 - 1475 Ellis Street, ,V1Y2A3, ,KELOWNA,137,Central Okanagan,49.8870493,-119.4930517
DCE,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Integrated Youth Services Team,Kelowna,2000/04/01,2024/03/31,District,N,,301 - 1475 Ellis Street, ,V1Y2A3, ,KELOWNA,137,Central Okanagan,49.8870493,-119.4930517
DCF,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Rutland/Winfield N. Mcf Team,Kelowna,2000/04/01,2024/03/31,District,N,,147 Park Road, ,V1X3E3, ,KELOWNA,137,Central Okanagan,49.888403,-119.3882232
DCN,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - G.A.P.Y. Okanagan,Osda Youth Justice,Kelowna,2000/04/01,2024/03/31,District,N,,301 - 1475 Ellis Street, ,V1Y2A3, ,KELOWNA,137,Central Okanagan,49.8870493,-119.4930517
DCV,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Okanagan Resources,Kelowna Resources,Kelowna,2000/04/01,2024/03/31,District,N,,"Suite 401, 1726 Dolphin Avenue", ,V1Y9R9, ,KELOWNA,137,Central Okanagan,49.8792745,-119.4593551
DCZ,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Early Years and CYSN - Okanagan and West Kootenay,Cysn Central Okanagan,Kelowna,2008/04/01,2024/03/31,District,N,,303-1664 Richter St, ,V1Y8N3, ,KELOWNA,137,Central Okanagan,49.8842659,-119.4890755
DDB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Central OK Protection & Collaborative Planning,Kelowna Intake 1,Kelowna,2000/04/01,2024/03/31,District,N,,304 - 260 Harvey Avenue, ,V1Y7S5, ,KELOWNA,137,Central Okanagan,49.8836824,-119.4980055
DDE,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Central OK Protection & Collaborative Planning,Kelowna Family Services,Kelowna,2000/04/01,2024/03/31,District,N,,301 - 1475 Ellis Street, ,V1Y2A3, ,KELOWNA,137,Central Okanagan,49.8870493,-119.4930517
DEA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - Shuswap Revelstoke,Shuswap/Revelstoke & Tcs Yj Director Of Operations,Salmon Arm,2000/04/01,2024/03/31,District,N,,550 Lakeshore Rd., ,V1E4S4, ,SALMON ARM,142,Salmon Arm,50.7041651,-119.2796732
DEB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - Shuswap Revelstoke,Salmon Arm Family Services,Salmon Arm,2000/04/01,2024/03/31,District,N,,550 Lakeshore Rd., ,V1E4S4, ,SALMON ARM,142,Salmon Arm,50.7041651,-119.2796732
DEC,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Okanagan Resources,Okanagan Collaborative Team,Kelowna,2000/04/01,2024/03/31, ,N,,1340 Ellis Street, ,V1Y9N1, ,KELOWNA,137,Central Okanagan,49.8908496,-119.4942423
DED,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - North Okanagan,Vernon Protective Family Services,Vernon,2000/04/01,2024/03/31,District,N,,2809 28th Street, ,V1T4Z5, ,VERNON,136,Vernon,50.2630723,-119.2675739
DEE,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Central OK Protection & Collaborative Planning,Osda Project Team - Youth/Young Adults,Vernon,2000/04/01,2024/03/31,District,N,,Ste #300 - 3100 30th Avenue, ,V1T2C2, ,VERNON,136,Vernon,50.2636134,-119.2724399
DEF,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - Shuswap Revelstoke,Revelstoke Child & Family Services & Shuswap Resources,Revelstoke,2000/04/01,2024/03/31,District,N,,Box 3259,210 Garden Avenue,V0E2S0, ,REVELSTOKE,141,Revelstoke,51.0016653,-118.2003431
DEG,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - North Okanagan,"Vernon Youth, Guardianship, Permanency Planning Services", ,2000/04/01,2024/03/31,District,N,, , ,, ,,,,53.913051,-122.7452849
DEH,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Okanagan Resources,Vernon Resource Office,Vernon,2000/04/01,2024/03/31,District,N,,2809 28th Street, ,V1T4Z5, ,VERNON,136,Vernon,50.2630723,-119.2675739
DEJ,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - Shuswap Revelstoke,"Salmon Arm Resource, Guardianship & Youth Services",Salmon Arm,2000/04/01,2024/03/31,District,N,,550 Lakeshore Rd., ,V1E4S4, ,SALMON ARM,142,Salmon Arm,50.7041651,-119.2796732
DEL,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Regional Cwps Services,Kelowna,2011/04/01,2024/03/31,Regional,N,,"Suite 400, 1726 Dolphin Avenue", ,V1Y9R9, ,KELOWNA,137,Central Okanagan,49.8792745,-119.4593551
DEQ,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Golden Comm Services/Resources,Golden,2004/04/01,2024/03/31, ,N,,Po Box 930,1104 9th Street,V0A1H0, ,GOLDEN,116,Golden,51.2961333,-116.9602352
DFB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Okanagan Resources,Director Of Operations - Okanagan Resources,Kelowna,2000/04/01,2024/03/31,District,N,,1340 Ellis Street, ,V1Y9N1, ,KELOWNA,137,Central Okanagan,49.8908496,-119.4942423
DGA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Early Years and CYSN - Okanagan and West Kootenay,Director Of Operations - Early Years And Cysn,Kelowna,2018/04/01,2024/03/31,District,N,,1340 Ellis Street, ,V1Y9N1, ,KELOWNA,137,Central Okanagan,49.8908496,-119.4942423
DHB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - North Okanagan,Vernon Intake & Assessment Protection Office,Vernon,2000/04/01,2024/03/31,District,N,,2809 28th Street, ,V1T4Z5, ,VERNON,136,Vernon,50.2630723,-119.2675739
DHD,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - Shuswap Revelstoke,Salmon Arm Intake & Fdr,Salmon Arm,2000/04/01,2024/03/31, ,N,,550 Lakeshore Rd., ,V1E4S4, ,SALMON ARM,142,Salmon Arm,50.7041651,-119.2796732
DJA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Manager Asd,Kelowna,2000/04/01,2024/03/31, ,N,,"Suite 400, 1726 Dolphin Avenue", ,V1Y9R9, ,KELOWNA,137,Central Okanagan,49.8792745,-119.4593551
DJF,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Kelowna Adult Community Living Service,Kelowna,2000/04/01,2024/03/31,District,N,,240 - 1640 Leckie Rd, ,V1X7C6, ,KELOWNA,137,Central Okanagan,49.8837079,-119.4286426
DJH,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Penticton Children'S Asd,Penticton,2000/04/01,2024/03/31,District,N,,"Suite 103, 1873 Main Street", ,V2A5H2, ,PENTICTON,132,Penticton,49.4777799,-119.5849666
DJJ,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Kelowna Children'S Asd,Kelowna,2000/04/01,2024/03/31,District,N,,240 - 1640 Leckie Rd, ,V1X7C6, ,KELOWNA,137,Central Okanagan,49.8837079,-119.4286426
DJK,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Salmon Arm Children'S Asd,Salmon Arm,2000/04/01,2024/03/31,District,N,,"P.O. Box 100, Stn. Main",302-431 Hudson Ave.,V1E4S4, ,SALMON ARM,142,Salmon Arm,50.7029269,-119.279788
DJL,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Vernon Children'S Asd,Vernon,2000/04/01,2024/03/31, ,N,,#200 - 4412 - 27th Street, ,V1T4Y4, ,VERNON,136,Vernon,50.2770489,-119.2670006
DKA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - CYMH Okanagan,Director Of Operations - Cymh,Kelowna,2000/04/01,2024/03/31,District,N,,2nd Floor-1726 Dolphin Avenue, ,V1Y9R9, ,KELOWNA,137,Central Okanagan,49.8792745,-119.4593551
DKB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - CYMH Okanagan,"Oliver, Osoyoos And Similkameen Cymh",Oliver,2000/04/01,2024/03/31, ,N,,5917 Airport Street, ,V0H1T0, ,OLIVER,131,Southern Okanagan,49.1780776,-119.5499224
DKE,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - CYMH Okanagan,Vernon Mental Health,Vernon,2000/04/01,2024/03/31, ,N,,3007 35th Avenue, ,V1T2S9, ,VERNON,136,Vernon,50.2676436,-119.2716146
DKF,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - CYMH Okanagan,Central Okanagan Child & Youth Mental Health Intake Tm,Kelowna,2000/04/01,2024/03/31,District,N,,204 - 260 Harvey Avenue, ,V1Y7S5, ,KELOWNA,137,Central Okanagan,49.8836824,-119.4980055
DKG,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - CYMH Okanagan,Penticton C&Y Mental Health,Penticton,2000/04/01,2024/03/31,District,N,,"3rd Fl, 740 Carmi Avenue", ,V2A8P9, ,PENTICTON,132,Penticton,49.4822036,-119.5750167
DKH,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 13 - Interior East Kootenay,LSA - CYMH,Shuswap/Revelstoke Cymh,Salmon Arm,2002/04/01,2024/03/31,District,N,,550 Lakeshore Rd., ,V1E4S4, ,SALMON ARM,142,Salmon Arm,50.7041651,-119.2796732
DKI,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - CYMH Okanagan,Central Okanagan Child & Youth Mental Health Generalist Tm,Kelowna,2008/04/01,2024/03/31,District,N,,204 - 260 Harvey Avenue, ,V1Y7S5, ,KELOWNA,137,Central Okanagan,49.8836824,-119.4980055
DKJ,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - CYMH Okanagan,Central Okanagan Child & Youth Mental Health Active Treatment Tm,Kelowna,2008/04/01,2024/03/31,District,N,,309 - 260 Harvey Avenue, ,V1Y7S5, ,KELOWNA,137,Central Okanagan,49.8836824,-119.4980055
DMA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - South Okanagan,Director Of Operations - S. Okanagan,Penticton,2000/04/01,2024/03/31,District,N,,"Suite 103, 1873 Main Street", ,V2A5H2, ,PENTICTON,132,Penticton,49.4777799,-119.5849666
DMB,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - G.A.P.Y. Okanagan,Osda Adoptions,Salmon Arm,2000/04/01,2024/03/31,District,N,,"P.O. Box 100, Stn. Main",302-431 Hudson Ave.,V1E4S4, ,SALMON ARM,142,Salmon Arm,50.7029269,-119.279788
DMG,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - South Okanagan,Oliver/Princeton Cp & Fs,Oliver,2000/04/01,2024/03/31,District,N,,34630 95th Street, ,V0H1T0, ,OLIVER,131,Southern Okanagan,49.1825,-119.5508333
DMH,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - South Okanagan,Penticton Intake Team,Penticton,2000/04/01,2024/03/31,District,N,,1274 Main Street, ,V2A5G2, ,PENTICTON,132,Penticton,49.4856012,-119.5859961
DMK,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Okanagan Resources,South Ok Resource Team,Penticton,2000/04/01,2024/03/31,District,N,,#104 - 1873 Main Street, ,V2A5H2, ,PENTICTON,132,Penticton,49.4777799,-119.5849666
DML,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - South Okanagan,Princeton Mcf Team,Princeton,2000/04/01,2024/03/31,District,N,,Po Box 387,89 Kenley Avenue,V0X1W0, ,TULAMEEN,134,Princeton,49.4603442,-120.507192
DMP,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - South Okanagan,S.Ok. Guardianship Permanency & Youth,Penticton,2000/04/01,2024/03/31,District,N,,1274 Main Street, ,V2A5G2, ,PENTICTON,132,Penticton,49.4856012,-119.5859961
DMU,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - South Okanagan,Summerland Team,Summerland,2000/04/01,2024/03/31,District,N,,Box 1860,#200 - 13211 Henry Avenue,V0H1Z0, ,SUMMERLAND,138,Summerland,49.6023491,-119.681803
DMX,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Grand Forks - Comm Services,Grand Forks,2004/04/01,2024/03/31, ,N,,Po Box 460,174 Market,V0H1H0, ,GRAND FORKS,126,Grand Forks,49.0327443,-118.4366066
DMZ,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - Early Years and CYSN - Okanagan and West Kootenay,Cysn South Okanagan,Penticton,2008/04/01,2024/03/31,District,N,,#104 - 1873 Main Street, ,V2A5H2, ,PENTICTON,132,Penticton,49.4777799,-119.5849666
DQA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,{Office not assigned to an SDA},{Office not assigned to an LSA},Director - Quality Assurance,Kelowna,2001/04/01,2024/03/31,District,N,,"Suite 400, 1726 Dolphin Avenue", ,V1Y9R9, ,KELOWNA,137,Central Okanagan,49.8792745,-119.4593551
DRA,1 - Interior,1 - Interior,Ministry Of Children And Family Development,SDA 12 - Okanagan West Kootenay,LSA - North Okanagan,Director Of Operations - N.Okanagan,Revelstoke,2001/04/01,2024/03/31,District,N,,Box 3259,210 Garden Avenue,V0E2S0, ,REVELSTOKE,141,Revelstoke,51.0016653,-118.2003431
